month_no,month,Year2016,Year2017,Year2018
01,Jan,0.0,37632.56999999999,969967.8000000004
02,Feb,0.0,222270.7499999994,853616.8200000001
03,Mar,0.0,376833.71999999974,1024851.949999998
04,Apr,0.0,299798.4500000003,1274742.1799999936
05,May,0.0,579280.430000001,1150528.9299999983
06,Jun,0.0,489463.42000000377,1141543.8499999994
07,Jul,0.0,518115.19000000384,925958.7899999985
08,Aug,0.0,609180.3400000039,1319737.659999997
09,Sep,0.0,652576.4800000018,12875.180000000002
10,Oct,34116.28,740570.3999999993,347.95
11,Nov,10734.64,733047.3299999983,0.0
12,Dec,960.85,1082600.6899999988,0.0
